AnalyzeStart : 0
AnalyzeStop : 0
AutoLogin : 0
CoCreateInstanceEx : 6
CoGetClassObject : 5
CopyFileExW : 6
CreateDirectoryExW : 3
CreateDirectoryW : 2
CreateProcessInternalW : 12
CreateServiceW : 13
CryptExportKey : 6
CryptGenKey : 4
DeleteFileW : 1
DeleteService : 1
DnsQuery_A : 6
DnsQuery_W : 6
EnumServicesStatusA : 8
EnumServicesStatusExW : 10
EnumServicesStatusW : 8
Fake_BeCreatedEx : 0
Fake_BeInjected : 0
Fake_DetectDebugger : 11
Fake_SetFileCreationTime : 5
Fake_SetFileHiddenOrReadOnly : 5
Fake_TerminateRemoteProcess : 2
Fake_WritePEFile : 16
FindFirstFileExW : 6
GetAdaptersAddresses : 5
GetComputerNameExW : 3
GetComputerNameW : 2
GetForegroundWindow : 0
HttpOpenRequestA : 8
InternetConnectA : 8
InternetCrackUrlA : 4
InternetCrackUrlW : 4
InternetOpenUrlA : 6
InternetReadFile : 4
KeBugCheck2 : 0
KiGeneralProtectionFault : 1
KiTrap0D : 1
LoadLibraryExW : 3
Login : 0
Module32FirstW : 2
MoveFileWithProgressW : 5
NtAdjustPrivilegesToken : 6
NtCreateFile : 11
NtCreateMutant : 4
NtCreateThread : 8
NtCreateThreadEx : 11
NtDeleteFile : 1
NtDeleteKey : 1
NtDeleteValueKey : 2
NtLoadDriver : 1
NtQueryAttributesFile : 2
NtQueryDirectoryFile : 11
NtQueryFullAttributesFile : 2
NtReadFile : 16
NtReadVirtualMemory : 5
NtSetContextThread : 2
NtSetSystemInformation : 3
NtSetSystemTime : 2
NtSetValueKey : 6
NtShutdownSystem : 1
NtSuspendThread : 2
NtTerminateProcess : 2
NtTerminateThread : 2
NtUnloadDriver : 1
NtWriteFile : 16
NtWriteVirtualMemory : 5
OpenSCManagerW : 3
OpenServiceW : 3
PowerOn : 0
Process32FirstW : 2
RemoveDirectoryW : 1
SendARP : 16
SetWindowsHookExW : 4
StartServiceW : 3
StrangeBehavior : 0
Thread32First : 2
TooManyBehavior : 0
TryToAnalyze : 0
URLDownloadToFileW : 5
UnpackSelf : 0
VMDetect : 0
WMIConnectServer : 9
WMICreateInstanceEnum : 5
WMIExecQuery : 6
WSAConnect : 7
WSARecv : 7
WSARecvFrom : 9
WSASend : 7
WSASendTo : 9
WSASocketW : 6
connect : 3
gethostbyname : 1
listen : 2
recv : 4
recvfrom : 6
send : 4
sendto : 6
